10	6
20	11
30	16
40	21
50	26
60	31
70	36
80	41
90	46
100	51
110	56
120	61
130	66
140	71
150	76
160	81
170	86
180	91
190	96
200	101
210	106
220	111
230	116
240	121
250	126
260	131
270	136
280	141
290	146
300	151
310	156
320	161
330	166
340	171
350	176
360	181
370	186
380	191
390	196
400	201
410	206
420	211
430	216
440	221
450	226
460	231
470	236
480	241
490	246
500	251
510	256
520	261
530	266
540	271
550	276
560	281
570	286
580	291
590	296
600	301
610	306
620	311
630	316
640	321
650	326
660	331
670	336
680	341
690	346
700	351
710	356
720	361
730	366
740	371
750	376
760	381
770	386
780	391
790	396
800	401
810	406
820	411
830	416
840	421
850	426
860	431
870	436
880	441
890	446
900	451
910	456
920	461
930	466
940	471
950	476
960	481
970	486
980	491
990	496
